first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Shkodran,Mustafi,2,80,2611,2,0,40,5,6,0,9,5.5,32,1.103,21.333,0.735
Héctor,Bellerín,2,60,1532,0,5,21,5,4,0,3,5.5,33,1.939,22.0,1.292
Sead,Kolasinac,2,81,1886,0,7,29,10,5,0,5,5.5,46,2.195,30.667,1.463
Ainsley,Maitland-Niles,2,34,983,1,1,20,3,2,1,1,5.0,16,1.465,16.0,1.465
Sokratis,Papastathopoulos,2,64,2198,1,2,33,4,5,0,12,5.0,24,0.983,24.0,0.983
Nacho,Monreal,2,77,1860,1,4,24,7,5,0,5,5.0,40,1.935,40.0,1.935
Laurent,Koscielny,2,62,1329,3,0,23,8,3,0,1,5.0,37,2.506,37.0,2.506
Konstantinos,Mavropanos,2,3,147,0,0,1,0,0,0,1,4.5,-1,-0.612,-2.0,-1.224
Carl,Jenkinson,2,4,165,0,0,3,0,0,0,0,4.5,0,0.0,0.0,0.0
Rob,Holding,2,24,806,0,0,10,5,1,0,1,4.5,8,0.893,16.0,1.787
Pierre-Emerick,Aubameyang,4,205,2722,22,7,42,32,7,0,0,11.0,141,4.662,21.692,0.717
Alexandre,Lacazette,4,166,2497,13,12,31,20,6,0,2,9.5,106,3.821,21.2,0.764
Edward,Nketiah,4,10,63,1,0,3,1,0,0,0,4.5,5,7.143,0,0.0
Bernd,Leno,1,106,2835,0,0,42,5,6,0,0,5.0,29,0.921,29.0,0.921
Mesut,Özil,3,89,1732,5,3,24,9,5,0,2,7.5,46,2.39,15.333,0.797
Henrikh,Mkhitaryan,3,98,1637,6,4,26,12,3,0,1,7.0,56,3.079,22.4,1.232
Alex,Iwobi,3,99,1961,3,8,32,3,4,0,0,6.0,46,2.111,30.667,1.407
Granit,Xhaka,3,90,2498,4,3,37,8,7,0,10,5.5,34,1.225,34.0,1.225
Lucas,Torreira,3,78,2377,2,4,38,6,5,1,7,5.0,23,0.871,46.0,1.742
Mohamed,Elneny,3,10,377,0,0,5,0,0,0,0,4.5,0,0.0,0,0.0
Matteo,Guendouzi,3,47,2140,0,0,32,0,3,0,9,4.5,-6,-0.252,0,0.0
Calum,Chambers,2,60,2586,2,0,52,0,5,0,9,4.5,23,0.8,46.0,1.601
Tom,Heaton,1,58,1710,0,0,27,4,4,0,3,4.5,17,0.895,34.0,1.789
Matt,Targett,2,36,1185,1,3,25,3,0,0,2,4.5,16,1.215,32.0,2.43
Tyrone,Mings,2,5,141,0,0,4,0,0,0,0,4.5,0,0.0,0.0,0.0
Steve,Cook,2,85,2786,1,1,56,6,9,0,3,5.0,48,1.551,48.0,1.551
Nathan,Aké,2,120,3411,4,1,70,8,10,0,3,5.0,72,1.9,72.0,1.9
Charlie,Daniels,2,44,1583,1,0,34,1,4,0,4,4.5,19,1.08,38.0,2.16
Chris,Mepham,2,27,848,0,1,17,0,2,0,1,4.5,10,1.061,20.0,2.123
Simon,Francis,2,40,1227,0,2,24,0,4,0,1,4.5,21,1.54,42.0,3.081
Adam,Smith,2,70,2067,1,1,33,1,8,1,5,4.5,34,1.48,68.0,2.961
Diego,Rico,2,8,606,0,0,19,0,0,0,1,4.0,-1,-0.149,0,0.0
Jack,Simpson,2,10,401,0,0,9,0,1,0,0,4.0,4,0.898,0,0.0
Callum,Wilson,4,168,2528,14,12,47,22,9,0,3,8.0,111,3.952,31.714,1.129
Joshua,King,4,141,2963,12,3,57,20,10,0,3,6.5,74,2.248,37.0,1.124
Dominic,Solanke,4,15,340,0,1,5,0,0,0,0,5.5,3,0.794,3.0,0.794
Sam,Surridge,4,2,11,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Asmir,Begovic,1,63,2160,0,0,47,4,5,0,0,4.5,24,1.0,48.0,2.0
Artur,Boruc,1,46,1080,0,0,18,4,4,0,2,4.5,18,1.5,36.0,3.0
Mark,Travers,1,9,180,0,0,5,1,1,0,0,4.5,5,2.5,10.0,5.0
Ryan,Fraser,3,181,3165,7,14,64,23,9,0,2,7.5,107,3.043,35.667,1.014
David,Brooks,3,123,2263,7,6,41,7,9,0,3,6.5,66,2.625,33.0,1.312
Junior,Stanislas,3,56,1021,2,3,24,3,2,0,1,6.0,23,2.027,15.333,1.352
Jordon,Ibe,3,33,789,1,1,23,0,1,0,1,5.0,8,0.913,16.0,1.825
Lewis,Cook,3,22,719,0,0,10,0,3,0,2,5.0,1,0.125,2.0,0.25
Andrew,Surman,3,36,1438,0,0,37,0,4,0,2,5.0,2,0.125,4.0,0.25
