first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Matej,Vydra,4,4,12,0,1,0,0,0,0,0,5.4,3,22.5,0.556,4.17
Moussa,Djenepo,3,16,123,2,0,0,3,1,0,2,5.4,12,8.78,2.222,1.626
Calum,Chambers,2,13,135,1,0,1,0,1,0,0,4.4,10,6.667,2.273,1.515
Divock,Origi,4,15,125,1,1,3,3,0,0,0,5.3,10,7.2,1.887,1.359
Lys,Mousset,4,7,57,1,0,0,0,0,0,0,4.9,4,6.316,0.816,1.288
Michy,Batshuayi,4,6,33,0,1,2,0,0,0,0,6.6,3,8.182,0.455,1.241
Aaron,Cresswell,2,14,180,1,0,5,2,1,0,0,4.9,12,6,2.449,1.224
Serge,Aurier,2,15,180,0,2,2,2,1,0,0,5,12,6,2.4,1.2
Tammy,Abraham,4,44,403,7,0,9,9,0,0,2,7.4,35,7.816,4.73,1.056
Billy,Sharp,4,7,64,1,0,2,3,0,1,0,5.7,4,5.625,0.702,0.987
Jeff,Hendrick,3,11,125,1,0,1,1,1,0,0,5.4,7,5.04,1.296,0.933
Teemu,Pukki,4,51,532,6,2,14,9,0,0,0,7.1,39,6.598,5.493,0.929
Riyad,Mahrez,3,35,308,1,5,0,3,3,0,0,8.5,26,7.597,3.059,0.894
John,Lundstram,2,32,508,1,1,6,7,2,0,2,4.4,22,3.898,5,0.886
Kevin,De Bruyne,3,54,449,2,7,3,9,3,0,0,9.9,43,8.619,4.343,0.871
Andriy,Yarmolenko,3,24,286,2,0,1,3,3,0,0,5.9,16,5.035,2.712,0.853
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Bernardo Mota,Veiga de Carvalho e Silva,3,33,331,4,1,6,2,1,0,2,7.8,24,6.526,3.077,0.837
David,Silva,3,36,404,1,5,4,3,3,0,0,7.5,26,5.792,3.467,0.772
Sergio,Agüero,4,55,446,8,2,6,6,2,0,0,12.2,44,8.879,3.607,0.728
Harry,Wilson,3,23,309,3,0,7,1,0,0,1,6.1,15,4.369,2.459,0.716
Jetro,Willems,2,16,297,1,0,5,0,1,0,0,4.5,10,3.03,2.222,0.673
Lucas,Torreira,3,11,139,1,0,3,0,0,0,0,4.9,5,3.237,1.02,0.66
Roberto,Firmino,4,44,487,3,4,4,9,1,0,0,9.5,33,6.099,3.474,0.642
Callum,Wilson,4,40,517,4,3,10,4,0,0,1,7.8,28,4.874,3.59,0.625
Nicolás,Otamendi,2,24,422,1,1,6,0,2,0,1,5.5,16,3.412,2.909,0.62
Jannik,Vestergaard,2,28,540,1,0,9,6,2,0,1,5.2,19,3.167,3.654,0.609
Erik,Pieters,2,27,540,0,2,7,3,2,0,0,4.7,17,2.833,3.617,0.603
Alexandre,Lacazette,4,14,145,2,0,3,2,0,0,1,9.3,9,5.586,0.968,0.601
Arthur,Masuaku,2,18,336,0,1,2,3,2,1,1,4.5,10,2.679,2.222,0.595
